avg,25.4,41.8,0
sklp,29.3,68.6,0
lsvc,23.1,50.0,0
svc,23.7,48.8,0
mlp,22.8,50.1,0
avg,25.6,46.8,1
sklp,31.4,30.3,1
lsvc,23.9,48.7,1
svc,25.2,48.1,1
mlp,23.7,49.5,1
avg,27.3,50.7,2
sklp,27.6,42.6,2
lsvc,24.3,48.0,2
svc,24.4,46.8,2
mlp,25.9,44.5,2
avg,26.9,36.5,3
sklp,35.5,81.7,3
lsvc,23.4,48.2,3
svc,24.6,46.5,3
mlp,25.3,45.3,3
avg,26.8,34.8,4
sklp,34.6,78.3,4
lsvc,23.5,47.5,4
svc,25.4,46.1,4
mlp,25.9,42.6,4
avg,27.8,41.2,5
sklp,33.1,70.4,5
lsvc,24.3,47.4,5
svc,24.8,45.7,5
mlp,25.7,43.4,5
avg,27.2,45.9,6
sklp,27.0,51.9,6
lsvc,24.5,46.1,6
svc,25.2,45.5,6
mlp,27.0,42.5,6
avg,27.9,28.7,7
sklp,27.7,49.1,7
lsvc,25.4,45.9,7
svc,25.0,45.7,7
mlp,22.9,52.4,7
avg,28.8,28.6,8
sklp,28.3,53.5,8
lsvc,25.4,46.0,8
svc,25.6,46.6,8
mlp,26.1,41.9,8
avg,29.5,29.9,9
sklp,42.6,9.6,9
lsvc,25.2,46.4,9
svc,25.2,46.6,9
mlp,26.2,43.4,9
